InvoieNo,tokoe,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
549687,20685,DOORMAT RED RETROSPOT,2,2011-03-04,7.95,12363,USA
549687,22691,DOORMAT WELCOME SUNRISE,2,2011-03-04,7.95,12363,USA
549687,48116,DOORMAT MULTICOLOUR STRIPE,2,2011-03-04,7.95,12363,USA
549687,21213,PACK OF 72 SKULL CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,84991,60 TEATIME FAIRY CAKE CASES,24,2011-03-04,0.55,12363,USA
549687,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-03-04,1.45,12363,USA
549687,21973,SET OF 36 MUSHROOM PAPER DOILIES,12,2011-03-04,1.45,12363,USA
549687,21211,SET OF 72 SKULL PAPER  DOILIES,12,2011-03-04,1.45,12363,USA
549687,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-03-04,1.25,12363,USA
549687,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-03-04,1.25,12363,USA
549687,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2011-03-04,1.25,12363,USA
549687,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-03-04,1.25,12363,USA
550644,22722,SET OF 6 SPICE TINS PANTRY DESIGN,7,2011-04-19,3.95,12733,USA
550644,22979,PANTRY WASHING UP BRUSH,2,2011-04-19,1.45,12733,USA
550644,84987,SET OF 36 TEATIME PAPER DOILIES,3,2011-04-19,1.45,12733,USA
550644,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-04-19,4.95,12733,USA
550644,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-04-19,1.25,12733,USA
550644,47580,TEA TIME DES TEA COSY,3,2011-04-19,2.55,12733,USA
550644,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-04-19,3.25,12733,USA
550644,22900, SET 2 TEA TOWELS I LOVE LONDON ,3,2011-04-19,3.25,12733,USA
550644,22128,PARTY CONES CANDY ASSORTED,12,2011-04-19,1.25,12733,USA
550644,47590,PINK HAPPY BIRTHDAY BUNTING,4,2011-04-19,5.45,12733,USA
550644,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2,2011-04-19,2.1,12733,USA
550644,22088,PAPER BUNTING COLOURED LACE,6,2011-04-19,2.95,12733,USA
550644,22990,COTTON APRON PANTRY DESIGN,5,2011-04-19,4.95,12733,USA
550644,22129,PARTY CONES CANDY TREE DECORATION,36,2011-04-19,0.85,12733,USA
550644,21067,VINTAGE RED TEATIME MUG,6,2011-04-19,1.25,12733,USA
550644,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-04-19,2.1,12733,USA
550644,22147,FELTCRAFT BUTTERFLY HEARTS,7,2011-04-19,1.45,12733,USA
550644,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-04-19,2.55,12733,USA
550644,22970,LONDON BUS COFFEE MUG,6,2011-04-19,2.55,12733,USA
550644,22423,REGENCY CAKESTAND 3 TIER,6,2011-04-19,12.75,12733,USA
550644,37501,TEA TIME TEA SET IN GIFT BOX,5,2011-04-19,6.95,12733,USA
550644,37500,TEA TIME TEAPOT IN GIFT BOX,4,2011-04-19,4.95,12733,USA
552695,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,24,2011-10-05,1.25,16320,USA
552695,23078,ICE CREAM PEN LIP GLOSS ,24,2011-10-05,1.25,16320,USA
552695,22619,SET OF 6 SOLDIER SKITTLES,4,2011-10-05,3.75,16320,USA
552695,21888,BINGO SET,8,2011-10-05,3.75,16320,USA
552695,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-10-05,3.25,16320,USA
552695,22620,4 TRADITIONAL SPINNING TOPS,12,2011-10-05,1.45,16320,USA
552695,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2011-10-05,1.45,16320,USA
552695,21705,BAG 500g SWIRLY MARBLES,12,2011-10-05,1.65,16320,USA
552695,21704,BAG 250g SWIRLY MARBLES,12,2011-10-05,0.85,16320,USA
552695,21703,BAG 125g SWIRLY MARBLES,12,2011-10-05,0.42,16320,USA
552695,22621,TRADITIONAL KNITTING NANCY,12,2011-10-05,1.65,16320,USA
552695,22150,3 STRIPEY MICE FELTCRAFT,6,2011-10-05,1.95,16320,USA
552695,23127,FELTCRAFT GIRL NICOLE KIT,4,2011-10-05,4.95,16320,USA
552695,23126,FELTCRAFT GIRL AMELIE KIT,4,2011-10-05,4.95,16320,USA
552695,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-10-05,1.25,16320,USA
552695,22149,FELTCRAFT 6 FLOWER FRIENDS,12,2011-10-05,2.1,16320,USA
552695,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-10-05,8.5,16320,USA
552695,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,12,2011-10-05,1.25,16320,USA
552695,22754,SMALL RED BABUSHKA NOTEBOOK ,12,2011-10-05,0.85,16320,USA
552695,22584,PACK OF 6 PANNETONE GIFT BOXES,12,2011-10-05,2.55,16320,USA
552695,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-10-05,1.25,16320,USA
552695,22815,CARD PSYCHEDELIC APPLES,12,2011-10-05,0.42,16320,USA
552695,16161,WRAP SUKI AND FRIENDS,25,2011-10-05,0.42,16320,USA
552695,22707,WRAP MONSTER FUN ,25,2011-10-05,0.42,16320,USA
552695,22711,WRAP CIRCUS PARADE,25,2011-10-05,0.42,16320,USA
552695,22985,WRAP BILLBOARD FONTS DESIGN,25,2011-10-05,0.42,16320,USA
552695,22048,BIRTHDAY BANQUET GIFT WRAP,25,2011-10-05,0.42,16320,USA
552695,22986,GINGHAM ROSE WRAP,25,2011-10-05,0.42,16320,USA
552695,23233,WRAP POPPIES  DESIGN,25,2011-10-05,0.42,16320,USA
552695,23232,WRAP VINTAGE PETALS  DESIGN,25,2011-10-05,0.42,16320,USA
552695,22653,BUTTON BOX ,10,2011-10-05,1.95,16320,USA
552695,22652,TRAVEL SEWING KIT,10,2011-10-05,1.65,16320,USA
552695,22960,JAM MAKING SET WITH JARS,12,2011-10-05,3.75,16320,USA
552695,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-10-05,3.25,16320,USA
552695,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-10-05,1.25,16320,USA
552695,22924,FRIDGE MAGNETS LA VIE EN ROSE,12,2011-10-05,0.85,16320,USA
552695,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-10-05,2.08,16320,USA
552695,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-10-05,2.1,16320,USA
552695,82582,AREA PATROLLED METAL SIGN,12,2011-10-05,2.1,16320,USA
552695,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,2011-10-05,2.95,16320,USA
552695,21907,IM ON HOLIDAY METAL SIGN,12,2011-10-05,2.1,16320,USA
552695,71459,HANGING JAM JAR T-LIGHT HOLDER,24,2011-10-05,0.85,16320,USA
552695,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-10-05,12.75,16320,USA
552695,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-10-05,2.55,16320,USA
552695,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-10-05,1.69,16320,USA
552695,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-10-05,0.42,16320,USA
552695,23231,WRAP DOILEY DESIGN,25,2011-10-05,0.42,16320,USA
553857,23090,VINTAGE GLASS T-LIGHT HOLDER,12,2011-05-19,0.83,16311,USA
553857,47021,SET/6 BEAD COASTERS GAUZE BAG GOLD,48,2011-05-19,0.39,16311,USA
553857,79030,TUMBLER BAROQUE,24,2011-05-19,0.39,16311,USA
553857,84877,PINK ROUND COMPACT MIRROR,24,2011-05-19,1.25,16311,USA
553857,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-05-19,1.25,16311,USA
553857,84913,MINT GREEN ROSE TOWEL,8,2011-05-19,4.65,16311,USA
553857,85125,SMALL ROUND CUT GLASS CANDLESTICK,3,2011-05-19,4.95,16311,USA
553857,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2011-05-19,2.95,16311,USA
553857,47590,BLUE HAPPY BIRTHDAY BUNTING,3,2011-05-19,5.45,16311,USA
553857,47590,PINK HAPPY BIRTHDAY BUNTING,3,2011-05-19,5.45,16311,USA
553857,47369,PINK GREEN EMBROIDERY COSMETIC BAG,6,2011-05-19,2.95,16311,USA
557499,23122,PARTY CHARMS 50 PIECES,12,2011-06-20,0.83,16320,USA
557499,23119,PACK OF 6 LARGE FRUIT STRAWS ,36,2011-06-20,0.62,16320,USA
557499,23108,SET OF 10 LED DOLLY LIGHTS,4,2011-06-20,6.25,16320,USA
557499,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,2011-06-20,4.15,16320,USA
557499,23237,SET OF 4 KNICK KNACK TINS LEAVES ,6,2011-06-20,4.15,16320,USA
557499,23239,SET OF 4 KNICK KNACK TINS POPPIES,6,2011-06-20,4.15,16320,USA
557499,23245,SET OF 3 REGENCY CAKE TINS,4,2011-06-20,4.95,16320,USA
557499,22627,MINT KITCHEN SCALES,2,2011-06-20,8.5,16320,USA
557499,22625,RED KITCHEN SCALES,2,2011-06-20,8.5,16320,USA
559521,21634,ASSORTED MINI MADRAS NOTEBOOK,24,2011-08-07,0.39,16311,USA
559521,21212,PACK OF 72 RETROSPOT CAKE CASES,13,2011-08-07,0.55,16311,USA
559521,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,5,2011-08-07,2.1,16311,USA
559521,23254,CHILDRENS CUTLERY DOLLY GIRL ,5,2011-08-07,4.15,16311,USA
559521,23256,CHILDRENS CUTLERY SPACEBOY ,5,2011-08-07,4.15,16311,USA
559521,84378,SET OF 3 HEART COOKIE CUTTERS,7,2011-08-07,1.25,16311,USA
559521,20983,12 PENCILS TALL TUBE RED RETROSPOT,7,2011-08-07,0.85,16311,USA
559521,20982,12 PENCILS TALL TUBE SKULLS,7,2011-08-07,0.85,16311,USA
559521,22367,CHILDRENS APRON SPACEBOY DESIGN,6,2011-08-07,1.95,16311,USA
559521,20981,12 PENCILS TALL TUBE WOODLAND,7,2011-08-07,0.85,16311,USA
559521,22991,GIRAFFE WOODEN RULER,3,2011-08-07,1.95,16311,USA
559521,22992,REVOLVER WOODEN RULER ,5,2011-08-07,1.95,16311,USA
559521,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,2011-08-07,2.95,16311,USA
